Model,Dataset,Method,Alpha,Alpha K,Alpha S,K,Validity,Prob. Plaus.,Log Dens.,L1,L2
MLP,Blobs,GCE,10,100,100,4.0,1.0,0.93,2.26,0.62,0.44
MLP,Blobs,GCE,10,100,1000,12.67,1.0,0.94,2.33,0.62,0.44
MLP,Blobs,GCE,10,1000,1,1.0,1.0,0.94,2.25,0.62,0.44
MLP,Blobs,GCE,10,1000,10,1.0,1.0,0.92,2.24,0.62,0.44
MLP,Blobs,GCE,10,1000,100,1.0,1.0,0.94,2.26,0.62,0.44
MLP,Blobs,GCE,10,1000,1000,4.33,1.0,0.94,2.27,0.62,0.44
MLP,Blobs,GCE,100,1,1,5.67,1.0,1.0,2.6,0.65,0.47
MLP,Blobs,GCE,100,1,10,8.67,1.0,0.99,2.64,0.65,0.47
MLP,Blobs,GCE,100,1,100,17.67,1.0,0.99,2.75,0.66,0.47
MLP,Blobs,GCE,100,1,1000,23.33,1.0,0.98,2.77,0.66,0.47
MLP,Blobs,GCE,100,10,1,2.33,1.0,0.99,2.52,0.64,0.46
MLP,Blobs,GCE,100,10,10,5.33,1.0,0.98,2.55,0.64,0.46
MLP,Blobs,GCE,100,10,100,12.0,1.0,1.0,2.7,0.65,0.46
MLP,Blobs,GCE,100,10,1000,20.33,1.0,0.96,2.76,0.66,0.47
MLP,Blobs,GCE,100,100,1,1.67,1.0,0.95,2.49,0.63,0.46
MLP,Blobs,GCE,100,100,10,1.67,1.0,0.95,2.51,0.64,0.46
MLP,Blobs,GCE,100,100,100,3.67,1.0,0.95,2.56,0.64,0.46
MLP,Blobs,GCE,100,100,1000,12.0,1.0,0.95,2.74,0.66,0.48
MLP,Blobs,GCE,100,1000,1,1.0,1.0,0.94,2.47,0.64,0.46
MLP,Blobs,GCE,100,1000,10,1.0,1.0,0.93,2.46,0.64,0.46
MLP,Blobs,GCE,100,1000,100,1.0,1.0,0.93,2.46,0.64,0.46
MLP,Blobs,GCE,100,1000,1000,3.67,1.0,0.94,2.5,0.64,0.46
MLP,Blobs,GCE,1000,1,1,5.67,1.0,1.0,2.92,0.71,0.51
MLP,Blobs,GCE,1000,1,10,7.33,1.0,1.0,2.95,0.7,0.51
MLP,Blobs,GCE,1000,1,100,13.33,1.0,0.99,3.02,0.73,0.52
MLP,Blobs,GCE,1000,1,1000,19.67,1.0,0.99,2.95,0.72,0.52
MLP,Blobs,GCE,1000,10,1,3.33,1.0,0.99,2.84,0.7,0.51
MLP,Blobs,GCE,1000,10,10,6.0,1.0,1.0,2.9,0.73,0.52
MLP,Blobs,GCE,1000,10,100,9.33,1.0,1.0,2.99,0.73,0.52
MLP,Blobs,GCE,1000,10,1000,17.33,1.0,1.0,3.02,0.72,0.52
MLP,Blobs,GCE,1000,100,1,2.33,1.0,0.98,2.61,0.66,0.48
MLP,Blobs,GCE,1000,100,10,3.0,1.0,0.97,2.64,0.67,0.49
MLP,Blobs,GCE,1000,100,100,5.33,1.0,1.0,2.9,0.71,0.51
MLP,Blobs,GCE,1000,100,1000,10.33,1.0,1.0,2.91,0.71,0.51
MLP,Blobs,GCE,1000,1000,1,1.67,1.0,0.95,2.83,0.69,0.5
MLP,Blobs,GCE,1000,1000,10,1.67,1.0,0.95,2.73,0.68,0.49
MLP,Blobs,GCE,1000,1000,100,1.67,1.0,0.95,2.75,0.68,0.49
MLP,Blobs,GCE,1000,1000,1000,4.67,1.0,0.94,2.93,0.73,0.53
MLP,Moons,GCE,1,1,1,6.5,0.97,0.87,0.83,0.54,0.4
MLP,Moons,GCE,1,1,10,15.5,0.91,0.87,0.86,0.54,0.4
MLP,Moons,GCE,1,1,100,39.5,0.92,0.86,0.83,0.52,0.39
MLP,Moons,GCE,1,1,1000,59.0,0.87,0.86,0.82,0.52,0.39
MLP,Moons,GCE,1,10,1,1.5,0.95,0.79,0.68,0.56,0.4
MLP,Moons,GCE,1,10,10,4.0,0.95,0.81,0.77,0.58,0.42
MLP,Moons,GCE,1,10,100,13.5,0.9,0.84,0.74,0.56,0.4
