"Id","Creation Time","Tags","parameters/method","parameters/disc_model/model_name","parameters/dataset","parameters/counterfactuals/K","metrics/cf/K_vectors","parameters/counterfactuals/origin_class","metrics/cf/valid_cf_disc","metrics/cf/flow_prob_condition_acc","metrics/cf/cf_belongs_to_group","metrics/cf/plausibility","metrics/cf/flow_log_density_cfs","metrics/cf/dissimilarity_proximity_continuous_euclidean","metrics/cf/dissimilarity_proximity_continuous_manhatan","metrics/cf/isolation_forest_scores_cfs","metrics/cf/lof_scores_cfs"
"COUN-7190","2024-05-19 13:45:45","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","2","2.0","1","1.0","0.9399999976158142","1.0","0.013980743133994384","2.8513524532318115","0.43155630676650936","0.6064477807283402","0.03388366403189509","1.0565600395202637"
"COUN-7189","2024-05-19 13:45:37","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","1","1.0","1","1.0","0.9300000071525574","1.0","0.01398186638265088","2.8531665802001953","0.43185235850421544","0.6068540352582932","0.03377945719168229","1.054978609085083"
"COUN-7188","2024-05-19 13:44:47","[""plausability"",""k_ablation"",""GCE"",""19.05"",""Q1_log_prob_threshold""]","GCE","LogisticRegression","LawDataset","1","1.0","1","0.9955752491950989","0.9200000166893005","1.0","0.04478811113424834","1.8981512784957886","0.1941083096029281","0.30530350047681065","0.056548663188604825","1.038821816444397"
"COUN-7187","2024-05-19 13:43:42","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","100","18.0","0","1.0","0.9800000190734863","0.99","0.01094543490182533","2.794553756713867","0.42584348390383747","0.593077187538147","0.02103700276303633","1.0504984855651855"
"COUN-7186","2024-05-19 13:43:34","[""plausability"",""k_ablation"",""GCE"",""19.05"",""Q1_log_prob_threshold""]","GCE","MultilayerPerceptron","LawDataset","100","66.0","0","0.9367588758468628","1.0","1.0","0.04858756592073451","1.9755078554153442","0.3462435733354713","0.5637013176259612","0.042227328735749484","1.0318591594696045"
"COUN-7185","2024-05-19 13:43:11","[""plausability"",""k_ablation"",""GCE"",""19.05"",""Q1_log_prob_threshold""]","GCE","MultilayerPerceptron","LawDataset","90","73.0","0","0.935742974281311","0.9871244430541992","1.0","0.05149524010982608","1.6446664333343506","0.4038687284246444","0.6710589330147776","0.024848224559554315","1.0449931621551514"
"COUN-7184","2024-05-19 13:42:34","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","90","19.0","0","1.0","1.0","0.99","0.010786181660893417","2.9209587574005127","0.42983474308268876","0.6020387959480286","0.02761022106889663","1.0373083353042603"
"COUN-7183","2024-05-19 13:41:57","[""plausability"",""k_ablation"",""GCE"",""19.05"",""Q1_log_prob_threshold""]","GCE","MultilayerPerceptron","LawDataset","80","66.0","0","0.9399999976158142","1.0","1.0","0.04763820410065836","1.9901326894760132","0.344699136138467","0.5657791195080636","0.043250241803212505","1.0319499969482422"
"COUN-7182","2024-05-19 13:40:57","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","80","19.0","0","1.0","0.9900000095367432","0.99","0.011429636906449579","2.810553550720215","0.4299581626146103","0.6015152499079705","0.019844206296149643","1.0450208187103271"
"COUN-7181","2024-05-19 13:40:57","[""plausability"",""k_ablation"",""GCE"",""19.05"",""Q1_log_prob_threshold""]","GCE","MultilayerPerceptron","LawDataset","70","63.0","0","0.9333333373069763","1.0","1.0","0.04706883876847882","1.9708428382873535","0.34307220839601976","0.565227341282518","0.0411147941557907","1.0343011617660522"
