"Id","Creation Time","Tags","parameters/method","parameters/disc_model/model_name","parameters/dataset","metrics/cf/K_vectors","parameters/counterfactuals/origin_class","metrics/cf/valid_cf_disc","metrics/cf/flow_prob_condition_acc","metrics/cf/cf_belongs_to_group","metrics/cf/plausibility","metrics/cf/flow_log_density_cfs","metrics/cf/dissimilarity_proximity_continuous_euclidean","metrics/cf/dissimilarity_proximity_continuous_manhatan","metrics/cf/isolation_forest_scores_cfs","metrics/cf/lof_scores_cfs","parameters/counterfactuals/alpha","parameters/counterfactuals/alpha_k","parameters/counterfactuals/alpha_s"
"COUN-8071","2024-05-19 19:25:11","[""no_plausability"",""Q1_log_prob_threshold"",""all_methods"",""lambda_ablation"",""19.05"",""GCE""]","GCE","LogisticRegression","MoonsDataset","18.0","1","1.0","1.0","0.991304347826087","0.02907179603097356","1.232730746269226","0.4187475557186079","0.5615227813447785","0.02421369831783767","1.096012830734253","1000","10","10"
"COUN-8084","2024-05-19 19:31:29","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultilayerPerceptron","BlobsDataset","5.0","0","1.0","1.0","0.97","0.011108540970754224","3.007650852203369","0.4372213622835773","0.6118710482120514","0.032412226187881046","1.0294569730758667","1000","1","1"
"COUN-8172","2024-05-19 19:55:23","[""no_plausability"",""Q1_log_prob_threshold"",""all_methods"",""lambda_ablation"",""19.05"",""GCE""]","GCE","MultilayerPerceptron","MoonsDataset","13.0","1","0.9901960492134094","1.0","0.9901960784313726","0.03923907657320917","1.5439773797988892","0.5309381485168729","0.7138105453992503","0.008915453867140773","1.1931579113006592","100","1","1"
"COUN-8174","2024-05-19 19:56:48","[""no_plausability"",""Q1_log_prob_threshold"",""all_methods"",""lambda_ablation"",""19.05"",""GCE""]","GCE","MultilayerPerceptron","MoonsDataset","5.0","1","1.0","1.0","1.0","0.03254264864379573","1.4799748659133911","0.5302882549003267","0.7428665298005585","0.0012011039074807809","1.1301395893096924","100","10","1"
"COUN-8196","2024-05-19 20:07:55","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultilayerPerceptron","BlobsDataset","24.0","1","1.0","1.0","1.0","0.012311843595005263","2.7849338054656982","0.4003769669738249","0.5600531911849975","0.0307246306875432","1.0673913955688477","100","1","1000"
"COUN-8207","2024-05-19 20:12:28","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultilayerPerceptron","BlobsDataset","3.0","1","1.0","1.0","0.95","0.01200247226237963","2.625936985015869","0.3930804839865873","0.5514446067810058","0.022118172728827646","1.0843144655227661","1000","100","1"
"COUN-8211","2024-05-19 20:14:40","[""no_plausability"",""Q1_log_prob_threshold"",""all_methods"",""lambda_ablation"",""19.05"",""GCE""]","GCE","MultilayerPerceptron","MoonsDataset","14.0","1","0.9902912378311157","1.0","0.9902912621359223","0.03967470019802798","1.609991192817688","0.563409597773356","0.7406041531745965","0.016465600648513486","1.1822305917739868","1000","10","10"
"COUN-8293","2024-05-19 20:45:11","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultilayerPerceptron","BlobsDataset","10.0","2","1.0","1.0","1.0","0.011436077397551536","2.7093987464904785","0.6107425603607816","0.8407618479267694","0.006468562942702604","1.0665404796600342","100","10","100"
"COUN-8686","2024-05-19 22:33:08","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultilayerPerceptron","WineDataset","2.0","2","1.0","1.0","1.0","0.6045155967009066","6.728829383850098","0.5948871219650832","1.8814946388360112","0.05549152519221299","1.0523821115493774","10","10","10"
"COUN-8540","2024-05-19 21:56:20","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultilayerPerceptron","WineDataset","1.0","0","1.0","1.0","1.0","0.5862177924643709","7.103651523590088","0.4848238640858403","1.5135475336574018","0.06112089857535569","1.0547497272491455","1","1000","100"
